,Name,Before Standard Deviation,Full Standard Deviation,Change,Market Cap
0,AMGN_78,1.6095704452945427,1.2894657507083611,1.710006713867159,539473583.0429077
1,AGN_45,0.5968184038146447,0.6774212374476596,1.1399993896484375,862581381.9122317
2,ACAD_17,1.8160734877909355,3.6833920056787663,4.6499996185302805,79239385.06622314
3,CELG_51,1.3137506945471813,1.357487989207381,2.779998779296861,630009918.3837892
4,TTNP_20,5.235073209469212,5.591856772084828,1.2000002861022931,1837679.871269703
5,PFE_71,0.2534789909671741,0.544167679625314,0.5799980163574148,621090044.9962616
6,KMPH_101,7.561293777078629,4.88716548107854,0.0,684163.9833450317
7,ADMA_126,16.878838351215403,30.971391359689427,0.04999995231628329,342475.0
8,MRK_64,0.9470938076719612,0.7213710856010308,1.1399993896484304,1192979442.6506042
9,MNK_125,1.5859377199554194,2.6105850581763574,3.2499999999999964,76043962.42523193
10,LPCN_70,3.2385435907214966,4.2685676216236885,0.24999976158142,735700.0
11,OPK_32,1.6055356710121205,1.7083189745632488,0.42000007629394354,28424303.64332199
12,BMY_102,2.812575765707746,2.5829646648779088,0.7999992370605398,625913563.262558
13,MNK_117,2.4977542092962945,2.4370204108938314,1.9900016784667969,68132187.6411438
14,MYL_86,5.957438901797345,4.441205072542557,0.7800025939941406,135536239.91394043
15,AGRX_43,16.78971597824256,32.72692231901259,0.019999980926514116,545538.0191802979
16,PGNX_27,10.705870461292262,11.42289457322959,0.07999992370605735,5933689.803361893
17,AQST_129,5.753962749466395,7.516888413610219,0.1100001335144043,421631.9905757904
18,OTIC_7,2.7810081559590527,3.4926815422714093,2.0100002288818324,3053658.9391708383
19,NVS_98,1.8529109350664559,1.936200800576382,4.946235656738281,66981196.08764648
20,SCPH_111,9.183729740230374,6.719358259411131,0.4900002479553214,2282238.0632400517
21,LPCN_26,18.17842533043117,15.01609412515574,0.230000019073485,5499906.831932068
22,ACRX_87,22.819635732893946,16.9551490173345,0.1300001144409184,8417845.317935944
23,MACK_0,7.07812290523927,6.571903066048989,3.2999954223632955,14835450.0
24,MRK_53,0.45436446055734325,0.46074323853231125,0.19000244140625,566691091.9464111
25,NVS_39,0.5172554466558172,0.5369191138859083,0.6003570556640767,358189783.6967468
26,BDSI_2,7.40955825898294,6.020825827194968,0.20999956130981445,6933894.174528123
27,AMGN_97,0.8570555509906231,0.8087007634100027,2.4900054931640625,464958123.55194104
28,MLNT_42,24.445679766206286,18.73236986653052,23.75,8555000.0
29,ADMA_29,3.231293483953521,6.31133272878644,1.5299997329711887,412049.988269806
30,AMGN_48,1.8617591506209799,1.4958000156259064,3.6699981689453125,525081659.4543457
31,IONS_118,7.2692138769589345,8.906787257708807,0.5900001525878906,42922267.47894287
32,REGN_115,1.5528602488246637,1.5352876626499448,12.329986572265625,299987445.6115723
33,MTFB_131,26.840973066908376,20.158472090001254,0.770000100135803,93150.00343322754
34,DRRX_89,23.698516313446802,48.781983076371496,0.0,615019.9892520906
35,NBIX_59,9.951288085253069,11.746456207791864,0.1100006103515625,52144931.47277833
36,NBRV_136,10.84189373651619,15.244206777877997,0.12999987602233887,4239949.844479561
37,BMY_80,0.37995755375570867,0.46147020960468665,0.3800010681152344,650266843.2357787
38,ICPT_22,2.0303146016290476,2.882249648383798,25.599990844726562,41680511.62109375
39,LLY_61,0.36579660026096644,1.4668675271225966,3.9899978637695312,239621219.14291385
40,BHC_112,5.003792545303931,3.909617745597446,0.9300003051757777,250353927.33764648
41,AZN_54,0.6676552877314029,0.8680947474412132,0.6199989318847798,116190597.00012209
42,AVDL_18,3.7019416444736875,3.770845522945258,2.5900001525878924,2499993.023586273
43,GSK_33,1.4094606790369721,1.324786823874238,1.7599983215332031,155517047.27554318
44,GSK_92,2.0719678939833868,1.8487554121050684,0.07999801635742188,133525675.0427246
45,EGRX_8,2.703030815909343,2.6913318756090527,1.0499954223632812,41332457.86972046
46,REGN_56,1.7022099161858992,1.9379273315602858,16.780029296875,454302121.4538574
47,EBS_6,1.0956572482061673,1.2803435817732243,0.6000022888183594,30777543.70803833
48,AGN_116,0.26149764566327344,0.9128719404366217,3.8099975585937784,294252032.23114014
49,EGRX_13,6.817421293351754,6.064365395028465,4.819999694824219,30688665.681838997
50,REPH_134,2.4838396051412177,10.012037900949487,3.8580002784729013,3748667.9071426387
51,AGRX_107,28.319857387722912,20.307403016349053,0.10000002384185791,990260.024666786
52,ADMP_23,21.29249771958549,15.036106691660189,0.7000000476837163,1629960.0143432615
53,DVAX_35,26.846279595522955,19.71140758615519,0.4499998092651367,9022334.66091156
54,OPK_14,5.011979125987093,4.075200496247128,0.23999977111816406,60126043.59512329
55,NVS_122,1.0862647013825306,1.6869085325627686,1.7025146484375,293680861.5234375
56,NVS_104,0.6859711477482848,0.5759658091145161,0.5555496215820455,98921440.57312012
57,RIGL_103,8.146461710247586,6.81903089603906,0.19000005722045898,6503313.8328790665
58,MDCO_76,3.1487978195698854,3.530584705709613,0.8299980163574219,53469099.76959229
59,TEVA_96,3.718696253835803,3.0721337726885776,0.45999908447265625,230518378.11813357
60,LXRX_132,9.557167854199989,7.234388182288917,0.6399998664855966,22083281.545257565
61,SPPI_12,4.269169347195544,3.580918460667429,0.25,3563703.120660782
62,REPH_108,21.44056839104251,15.59295369992745,0.1100001335144043,1817743.9559936528
63,VNDA_21,4.595273776659661,5.90795200873667,0.26000022888183594,6557439.733886719
64,EXEL_4,4.100018860474996,5.187004134124069,0.06000041961669833,20327341.187906265
65,INSY_114,3.5066581370239303,2.6331379494555702,0.5100002288818359,5908517.942428589
