,Name,Data
11,VRTX,"         Date       High        Low       Open      Close   Volume  Adj Close
0  2016-01-29  94.489998  90.000000  92.720001  90.750000  3485600  90.750000
1  2016-02-01  93.989998  89.750000  91.919998  92.389999  2913200  92.389999
2  2016-02-02  92.680000  89.430000  90.589996  90.980003  3142900  90.980003
3  2016-02-03  93.980003  86.120003  91.540001  93.879997  3256700  93.879997
4  2016-02-04  96.349998  90.709999  93.489998  91.720001  2445400  91.720001
5  2016-02-05  92.230003  84.540001  89.779999  86.610001  4571300  86.610001
6  2016-02-08  85.849998  79.809998  85.230003  82.000000  4215100  82.000000
7  2016-02-09  83.529999  79.440002  80.250000  80.139999  4118200  80.139999
8  2016-02-10  84.059998  80.250000  82.260002  81.730003  4115300  81.730003
9  2016-02-11  81.169998  78.510002  79.209999  79.709999  3894600  79.709999
10 2016-02-12  83.809998  79.500000  81.940002  83.230003  2771700  83.230003"
12,SPPI,"         Date  High   Low  Open  Close   Volume  Adj Close
0  2016-03-08  5.33  5.03  5.33   5.07   702900       5.07
1  2016-03-09  5.08  4.85  5.06   5.01   820000       5.01
2  2016-03-10  5.57  5.11  5.16   5.47  1427000       5.47
3  2016-03-11  5.79  5.26  5.57   5.79  1291500       5.79
4  2016-03-14  6.07  5.79  5.84   5.85  1145600       5.85
5  2016-03-15  6.13  5.70  6.11   5.71  1320700       5.71
6  2016-03-16  5.66  5.45  5.63   5.62  1135800       5.62
7  2016-03-17  5.89  5.34  5.60   5.86  1387100       5.86
8  2016-03-18  6.10  5.85  5.91   5.96  3611600       5.96
9  2016-03-21  6.18  5.83  5.94   6.08   785400       6.08
10 2016-03-22  6.20  6.01  6.01   6.17   704000       6.17
11 2016-03-23  6.33  5.86  6.18   5.87   701000       5.87"
13,EGRX,"        Date       High        Low       Open      Close   Volume  Adj Close
0 2016-03-11  62.570000  59.320000  61.240002  61.810001   496500  61.810001
1 2016-03-14  62.540001  60.259998  61.810001  60.349998   376700  60.349998
2 2016-03-15  60.189999  55.500000  59.470001  56.060001   381600  56.060001
3 2016-03-16  58.000000  55.000000  55.580002  56.689999   264700  56.689999
4 2016-03-17  57.029999  52.720001  57.029999  53.680000   643600  53.680000
5 2016-03-18  45.750000  40.500000  45.009998  43.500000  2499100  43.500000
6 2016-03-21  43.130001  40.460999  42.709999  41.240002   725500  41.240002
7 2016-03-22  43.480000  41.160000  41.590000  43.290001   421200  43.290001
8 2016-03-23  43.410000  40.599998  43.290001  41.430000   364800  41.430000
9 2016-03-24  41.500000  37.549999  41.000000  38.680000   573600  38.680000"
14,OPK,"         Date   High    Low   Open  Close    Volume  Adj Close
0  2016-03-23  11.84  11.30  11.63  11.33   5306800      11.33
1  2016-03-24  11.39  10.96  11.33  11.28   4749800      11.28
2  2016-03-28  11.72  11.14  11.57  11.16   5489100      11.16
3  2016-03-29  11.16  10.28  11.16  11.07   5843700      11.07
4  2016-03-30  10.49   9.83   9.99   9.90  12035100       9.90
5  2016-03-31  10.56   9.86   9.96  10.39   6923200      10.39
6  2016-04-01  10.48  10.13  10.25  10.41   4186200      10.41
7  2016-04-04  10.62  10.26  10.28  10.40   3614300      10.40
8  2016-04-05  10.44  10.20  10.22  10.28   4621300      10.28
9  2016-04-06  10.68  10.25  10.30  10.68   4504800      10.68
10 2016-04-07  10.77  10.47  10.53  10.63   3582100      10.63"
15,CHMA,"         Date    High     Low   Open   Close   Volume  Adj Close
0  2016-04-08  13.375  11.060  11.15  12.720   901000     12.720
1  2016-04-11  12.900  11.000  12.80  11.510   959900     11.510
2  2016-04-12  11.628  10.650  11.51  11.000   894100     11.000
3  2016-04-13  11.614  10.220  11.06  10.900   949700     10.900
4  2016-04-14  10.200   9.000   9.89  10.035  1675600     10.035
5  2016-04-15  11.410   9.780   9.92  10.170   904700     10.170
6  2016-04-18   4.390   3.700   4.28   3.750  7346200      3.750
7  2016-04-19   3.890   3.720   3.74   3.790  1942700      3.790
8  2016-04-20   3.800   3.530   3.79   3.590  1271500      3.590
9  2016-04-21   3.870   3.530   3.62   3.820   938800      3.820
10 2016-04-22   3.930   3.725   3.93   3.830   501200      3.830"
16,EXEL,"         Date  High   Low  Open  Close    Volume  Adj Close
0  2016-04-18  4.43  4.26  4.32   4.40   1849400       4.40
1  2016-04-19  4.43  4.24  4.40   4.29   3687300       4.29
2  2016-04-20  4.36  4.23  4.29   4.29   2694600       4.29
3  2016-04-21  4.52  4.24  4.24   4.52   3324100       4.52
4  2016-04-22  4.58  4.25  4.52   4.41   3885600       4.41
5  2016-04-25  4.80  4.37  4.42   4.66   9416000       4.66
6  2016-04-26  5.18  4.66  5.00   4.68  16051900       4.68
7  2016-04-27  4.76  4.45  4.75   4.56   4508100       4.56
8  2016-04-28  4.70  4.41  4.50   4.54   2976000       4.54
9  2016-04-29  4.68  4.51  4.51   4.61   3532700       4.61
10 2016-05-02  4.82  4.55  4.63   4.82   4862800       4.82
11 2016-05-03  4.78  4.63  4.77   4.67   4810300       4.67"
17,ACAD,"         Date       High        Low       Open      Close   Volume  Adj Close
0  2016-04-22  34.189999  32.349998  33.599998  34.020000  2329200  34.020000
1  2016-04-25  35.180000  33.750000  33.939999  34.180000  1967600  34.180000
2  2016-04-26  34.500000  31.770000  34.169998  32.619999  2905000  32.619999
3  2016-04-27  33.049999  31.000000  32.180000  32.630001  2619600  32.630001
4  2016-04-28  33.570000  32.080002  32.480000  32.400002  2084000  32.400002
5  2016-04-29  33.150002  31.740000  33.040001  32.299999  2102000  32.299999
6  2016-05-02  34.250000  30.580000  34.160000  33.000000  8115400  33.000000
7  2016-05-03  32.209999  29.750000  31.809999  30.000000  4298600  30.000000
8  2016-05-04  29.650000  27.190001  29.030001  27.530001  4718200  27.530001
9  2016-05-05  27.950001  26.559999  27.889999  27.049999  3572500  27.049999
10 2016-05-06  28.500000  26.500000  28.030001  27.650000  2952200  27.650000"
18,AVDL,"         Date   High    Low   Open  Close  Volume  Adj Close
0  2016-04-25  12.34  11.70  11.70  12.13  206100      12.13
1  2016-04-26  12.40  11.88  12.11  12.17  225700      12.17
2  2016-04-27  12.30  11.89  12.11  12.08  151500      12.08
3  2016-04-28  12.33  11.91  12.16  11.97  217700      11.97
4  2016-04-29  12.14  11.34  11.86  11.46  231200      11.46
5  2016-05-02  12.50  11.34  11.59  12.32  312000      12.32
6  2016-05-03  12.30  11.87  12.30  12.01  275900      12.01
7  2016-05-04  12.15  11.69  11.69  11.88  225400      11.88
8  2016-05-05  11.99  11.30  11.99  11.37  234300      11.37
9  2016-05-06  11.24  10.64  11.14  10.86  228500      10.86
10 2016-05-09  10.74   9.75  10.46  10.16  408500      10.16
11 2016-05-10  10.41   9.31  10.15   9.42  325500       9.42"
19,AZN,"         Date       High        Low       Open      Close   Volume  Adj Close
0  2016-05-19  28.500000  28.110001  28.490000  28.379999  2998100  25.087591
1  2016-05-20  28.830000  28.480000  28.490000  28.690001  3643100  25.361631
2  2016-05-23  28.820000  28.540001  28.690001  28.650000  3350100  25.326269
3  2016-05-24  29.530001  29.030001  29.040001  29.480000  3534300  26.059980
4  2016-05-25  30.090000  29.760000  29.920000  29.980000  4727700  26.501974
5  2016-05-26  30.090000  29.670000  29.680000  29.950001  5408000  26.475456
6  2016-05-27  29.910000  29.580000  29.580000  29.879999  4899000  26.413576
7  2016-05-31  30.200001  29.559999  30.090000  29.700001  4573200  26.254459
8  2016-06-01  29.559999  29.340000  29.360001  29.450001  4156000  26.033461
9  2016-06-02  29.740000  29.340000  29.400000  29.670000  3018400  26.227940
10 2016-06-03  29.900000  29.549999  29.840000  29.730000  2759200  26.280975"
20,TTNP,"         Date       High        Low       Open      Close   Volume  Adj Close
0  2016-05-19  37.979401  36.000000  37.200001  36.599998    50210  36.599998
1  2016-05-20  38.459999  35.700001  36.419998  38.040001    66375  38.040001
2  2016-05-23  42.000000  38.759998  39.480000  41.160000   239945  41.160000
3  2016-05-24  46.799999  42.360001  43.799999  44.459999   342854  44.459999
4  2016-05-25  47.099998  39.720001  45.900002  41.880001   286041  41.880001
5  2016-05-26  44.700001  41.700001  42.599998  42.419998   282916  42.419998
6  2016-05-27  52.439999  39.660000  51.060001  41.160000  1570977  41.160000
7  2016-05-31  42.959999  40.500000  42.900002  42.180000   335768  42.180000
8  2016-06-01  41.219398  36.599998  41.099998  37.799999   327963  37.799999
9  2016-06-02  38.602200  34.500000  38.099998  35.759998   249368  35.759998
10 2016-06-03  36.000000  33.180000  36.000000  33.959999   153586  33.959999"
