,Name,Data
33,GSK,"        Date       High        Low       Open      Close   Volume  Adj Close
0 2016-08-26  44.189999  43.430000  43.790001  43.549999  3571000  37.655006
1 2016-08-29  43.700001  43.389999  43.540001  43.610001  2131500  37.706890
2 2016-08-30  43.590000  43.349998  43.439999  43.360001  1914100  37.490730
3 2016-08-31  43.509998  43.250000  43.380001  43.459999  2370400  37.577190
4 2016-09-01  43.189999  42.880001  43.070000  42.980000  3220800  37.162159
5 2016-09-02  44.459999  43.759998  43.889999  44.259998  3915200  38.268902
6 2016-09-06  44.200001  43.880001  44.080002  43.990002  2944200  38.035450
7 2016-09-07  44.020000  43.730000  43.730000  43.820000  3081000  37.888466
8 2016-09-08  43.810001  43.560001  43.660000  43.650002  2376000  37.741474
9 2016-09-09  43.000000  42.500000  42.910000  42.500000  3425600  36.747139"
34,SRPT,"         Date       High        Low       Open      Close    Volume  Adj Close
0  2016-09-12  27.750000  26.530001  26.639999  27.740000   1825200  27.740000
1  2016-09-13  27.490000  25.469999  27.490000  25.600000   2689700  25.600000
2  2016-09-14  32.910000  29.600000  29.650000  32.450001  15977900  32.450001
3  2016-09-15  31.100000  28.980000  31.070000  30.020000   5244100  30.020000
4  2016-09-16  29.930000  27.990000  29.400000  28.150000   4374500  28.150000
5  2016-09-19  56.180000  28.100000  28.809999  48.939999  50770300  48.939999
6  2016-09-20  56.799999  51.950001  51.950001  55.730000  21126800  55.730000
7  2016-09-21  58.869999  54.599998  57.580002  56.220001   8767400  56.220001
8  2016-09-22  61.599998  56.900002  56.900002  60.970001  11203600  60.970001
9  2016-09-23  60.700001  57.230000  60.509998  57.830002   9680800  57.830002
10 2016-09-26  61.430000  58.000000  59.009998  59.660000   5964900  59.660000
11 2016-09-27  59.939999  57.709999  59.049999  59.099998   3128000  59.099998"
35,DVAX,"         Date   High    Low   Open  Close    Volume  Adj Close
0  2016-11-07  10.35   9.50   9.80  10.15    888900      10.15
1  2016-11-08  10.80   9.80  10.10  10.40   1390700      10.40
2  2016-11-09  11.50  10.10  10.45  11.35   1707400      11.35
3  2016-11-10  12.05  11.25  11.60  11.30   1216500      11.30
4  2016-11-11  11.80  11.20  11.25  11.60   1133500      11.60
5  2016-11-14   4.70   3.20   3.25   4.10  29027500       4.10
6  2016-11-15   4.80   3.95   4.15   4.75   8571500       4.75
7  2016-11-16   4.75   4.50   4.65   4.60   2739700       4.60
8  2016-11-17   4.60   4.30   4.60   4.50   2111500       4.50
9  2016-11-18   4.85   4.40   4.50   4.70   2091000       4.70
10 2016-11-21   4.85   4.60   4.70   4.75   1707900       4.75
11 2016-11-22   5.30   4.75   4.80   5.20   3223600       5.20"
36,SPPI,"         Date  High   Low  Open  Close   Volume  Adj Close
0  2016-11-10  4.32  4.13  4.29   4.21  1008500       4.21
1  2016-11-11  4.53  4.14  4.25   4.50  1249000       4.50
2  2016-11-14  4.80  4.40  4.68   4.79  1237400       4.79
3  2016-11-15  4.78  4.37  4.78   4.40  1093800       4.40
4  2016-11-16  4.43  4.26  4.40   4.27   645200       4.27
5  2016-11-17  4.41  4.25  4.36   4.27   523300       4.27
6  2016-11-18  4.33  4.19  4.25   4.27   611100       4.27
7  2016-11-21  4.53  4.22  4.27   4.52   543200       4.52
8  2016-11-22  4.63  4.29  4.53   4.30   712700       4.30
9  2016-11-23  4.38  4.11  4.24   4.38   551800       4.38
10 2016-11-25  4.37  4.28  4.37   4.33   217800       4.33"
38,NVS,"         Date       High        Low       Open      Close   Volume  Adj Close
0  2016-12-14  64.256271  63.405018  64.166664  63.566307  5634900  56.692280
1  2016-12-15  63.978493  63.503586  63.799282  63.673836  2877500  56.788181
2  2016-12-16  64.372757  63.951614  64.068100  64.318993  3836100  57.363571
3  2016-12-19  64.686378  64.139786  64.399643  64.184586  3189300  57.243702
4  2016-12-20  64.686378  64.193550  64.569893  64.480286  2952600  57.507420
5  2016-12-21  64.659500  64.068100  64.605736  64.077065  2150800  57.147808
6  2016-12-22  64.650536  64.229393  64.623657  64.310036  2669400  57.355583
7  2016-12-23  64.543015  64.238350  64.453407  64.381721  1635300  57.419518
8  2016-12-27  65.035843  64.489250  65.008957  64.551971  2095800  57.571354
9  2016-12-28  64.964157  64.166664  64.955200  64.175629  1768400  57.235714
10 2016-12-29  65.268814  64.856628  65.179214  64.910393  2445700  57.891018"
39,NVS,"         Date       High        Low       Open      Close   Volume  Adj Close
0  2016-12-14  64.256271  63.405018  64.166664  63.566307  5634900  56.692280
1  2016-12-15  63.978493  63.503586  63.799282  63.673836  2877500  56.788181
2  2016-12-16  64.372757  63.951614  64.068100  64.318993  3836100  57.363571
3  2016-12-19  64.686378  64.139786  64.399643  64.184586  3189300  57.243702
4  2016-12-20  64.686378  64.193550  64.569893  64.480286  2952600  57.507420
5  2016-12-21  64.659500  64.068100  64.605736  64.077065  2150800  57.147808
6  2016-12-22  64.650536  64.229393  64.623657  64.310036  2669400  57.355583
7  2016-12-23  64.543015  64.238350  64.453407  64.381721  1635300  57.419518
8  2016-12-27  65.035843  64.489250  65.008957  64.551971  2095800  57.571354
9  2016-12-28  64.964157  64.166664  64.955200  64.175629  1768400  57.235714
10 2016-12-29  65.268814  64.856628  65.179214  64.910393  2445700  57.891018"
40,IONS,"        Date       High        Low       Open      Close   Volume  Adj Close
0 2016-12-16  51.119999  48.650002  50.500000  49.299999  3771600  49.299999
1 2016-12-19  50.060001  48.349998  49.200001  49.169998  2403900  49.169998
2 2016-12-20  53.740002  49.700001  49.959999  51.919998  3076200  51.919998
3 2016-12-21  52.919998  51.549999  52.200001  52.150002  2699800  52.150002
4 2016-12-22  53.150002  51.240002  52.369999  51.590000  1486700  51.590000
5 2016-12-23  53.599998  51.549999  51.549999  53.410000  1419600  53.410000
6 2016-12-27  57.000000  54.520000  56.980000  55.119999  3734900  55.119999
7 2016-12-28  54.570000  51.049999  54.500000  51.540001  2478400  51.540001
8 2016-12-29  51.650002  48.369999  51.299999  48.619999  2564100  48.619999
9 2016-12-30  49.799999  47.509998  48.720001  47.830002  1780100  47.830002"
41,AMPH,"        Date       High        Low       Open      Close  Volume  Adj Close
0 2016-12-20  20.730000  19.930000  20.430000  20.690001  349400  20.690001
1 2016-12-21  20.889999  19.799999  20.690001  20.190001  214400  20.190001
2 2016-12-22  20.450001  19.950001  20.219999  20.059999  124700  20.059999
3 2016-12-23  20.730000  20.040001  20.040001  20.430000  251600  20.430000
4 2016-12-27  19.950001  18.379999  19.690001  18.570000  818800  18.570000
5 2016-12-28  18.860001  18.129999  18.510000  18.530001  430300  18.530001
6 2016-12-29  18.860001  18.299999  18.530001  18.379999  260700  18.379999
7 2016-12-30  18.510000  18.320000  18.400000  18.420000  398000  18.420000
8 2017-01-03  18.860001  18.330000  18.610001  18.500000  515900  18.500000
9 2017-01-04  19.469999  18.320000  18.420000  19.389999  525600  19.389999"
42,MLNT,"        Date    High     Low    Open   Close  Volume  Adj Close
0 2016-12-22  153.75  143.75  151.25  147.50   58000     147.50
1 2016-12-23  158.50  145.00  147.50  155.00  103500     155.00
2 2016-12-27  158.25  146.25  151.25  147.50   64700     147.50
3 2016-12-28  156.25  142.50  156.25  152.50   90100     152.50
4 2016-12-29   80.00   63.75   78.75   65.00  856100      65.00
5 2016-12-30   82.50   65.00   67.50   70.00  782400      70.00
6 2017-01-03   75.00   71.25   72.50   75.00  197100      75.00
7 2017-01-04   82.50   72.50   78.75   81.25  197200      81.25
8 2017-01-05   82.50   78.75   81.25   81.25  138300      81.25
9 2017-01-06   93.75   81.25   82.50   93.75  195600      93.75"
43,AGRX,"         Date   High   Low  Open  Close    Volume  Adj Close
0  2016-12-27  6.660  6.40  6.57   6.51     83800       6.51
1  2016-12-28  6.490  6.10  6.44   6.13    162700       6.13
2  2016-12-29  6.423  5.96  6.15   6.03    212800       6.03
3  2016-12-30  6.045  5.62  6.00   5.70    268500       5.70
4  2017-01-03  5.813  4.46  5.77   5.00   2390400       5.00
5  2017-01-04  2.940  1.82  1.93   2.63  18584900       2.63
6  2017-01-05  2.710  2.40  2.71   2.52   2408400       2.52
7  2017-01-06  2.700  2.45  2.54   2.69   1515700       2.69
8  2017-01-09  3.100  2.65  2.74   2.79   2054000       2.79
9  2017-01-10  3.000  2.58  3.00   2.72    874500       2.72
10 2017-01-11  2.730  2.58  2.73   2.65    382100       2.65"
44,GSK,"         Date       High        Low       Open      Close   Volume  Adj Close
0  2017-01-04  39.169998  38.830002  38.900002  39.090000  2987700  34.195236
1  2017-01-05  39.790001  39.180000  39.200001  39.730000  3020400  34.755093
2  2017-01-06  39.500000  39.340000  39.360001  39.380001  2891200  34.448925
3  2017-01-09  39.599998  39.200001  39.230000  39.430000  3822800  34.492661
4  2017-01-10  39.470001  39.299999  39.389999  39.340000  3084500  34.413933
5  2017-01-11  39.360001  38.759998  39.270000  39.049999  5387000  34.160240
6  2017-01-12  39.150002  38.799999  38.939999  39.009998  4240500  34.125244
7  2017-01-13  39.330002  38.849998  38.959999  39.220001  3228100  34.308952
8  2017-01-17  39.369999  38.939999  39.240002  39.299999  3998800  34.378941
9  2017-01-18  39.070000  38.810001  38.939999  38.889999  3011600  34.020275
10 2017-01-19  39.080002  38.669998  39.000000  38.750000  3872500  33.897800"
45,AGN,"         Date        High         Low        Open       Close   Volume   Adj Close
0  2017-01-12  217.169998  208.350006  213.839996  216.240005  3989000  207.605240
1  2017-01-13  217.979996  215.710007  215.759995  216.139999  3898500  207.509247
2  2017-01-17  215.880005  211.429993  214.399994  214.779999  3856500  206.203552
3  2017-01-18  219.130005  214.699997  216.500000  216.559998  2680000  207.912476
4  2017-01-19  217.460007  214.149994  217.000000  214.580002  3142700  206.011551
5  2017-01-20  216.070007  213.130005  214.759995  214.339996  2925800  205.781128
6  2017-01-23  218.080002  211.110001  212.429993  214.820007  3877600  206.241959
7  2017-01-24  215.470001  210.699997  214.990005  213.110001  3132400  204.600204
8  2017-01-25  215.369995  211.100006  213.699997  213.570007  3018500  205.041901
9  2017-01-26  214.940002  210.600006  214.309998  210.800003  2128100  202.382507
10 2017-01-27  214.589996  210.809998  211.539993  213.199997  2397500  204.686646"
46,ABBV,"         Date       High        Low       Open      Close    Volume  Adj Close
0  2017-01-12  61.430000  60.419998  60.770000  61.279999   8194400  56.038383
1  2017-01-13  62.410000  61.049999  61.349998  61.990002   7295100  56.687653
2  2017-01-17  62.040001  61.099998  61.750000  61.860001   7765000  56.568779
3  2017-01-18  62.139999  61.320000  61.759998  61.660000   5519400  56.385880
4  2017-01-19  61.880001  61.119999  61.450001  61.380001   5384200  56.129829
5  2017-01-20  61.770000  61.080002  61.410000  61.150002   6730000  55.919506
6  2017-01-23  61.259998  60.680000  61.020000  60.959999   5244700  55.745747
7  2017-01-24  60.930000  59.669998  60.910000  60.580002   6642000  55.398254
8  2017-01-25  61.630001  60.340000  60.599998  61.380001   8052800  56.129829
9  2017-01-26  61.900002  61.070000  61.160000  61.270000   7765300  56.029236
10 2017-01-27  61.250000  59.520000  60.000000  60.000000  14151200  54.867863"
48,AMGN,"         Date        High         Low        Open       Close     Volume   Adj Close
0  2017-01-31  156.960007  153.149994  153.699997  156.679993  3351300.0  145.672134
1  2017-02-01  159.750000  157.050003  158.589996  159.669998  3924800.0  148.452103
2  2017-02-02  159.940002  156.910004  159.729996  159.580002  4445400.0  148.368408
3  2017-02-03  167.850006  164.860001  166.100006  167.529999  7366600.0  155.759872
4  2017-02-06  166.889999  165.130005  166.179993  166.580002  4389200.0  154.876617
5  2017-02-07  167.720001  165.600006  167.000000  166.820007  3584300.0  155.099777
6  2017-02-08  168.350006  166.320007  166.500000  168.119995  3493400.0  156.308411
7  2017-02-09  167.789993  165.500000  165.750000  167.470001  4281400.0  155.704071
8  2017-02-10  168.309998  167.029999  167.800003  167.889999  2931200.0  156.094574
9  2017-02-13  168.259995  166.679993  167.720001  167.660004  3602800.0  156.955841
10 2017-02-14  168.070007  165.570007  167.070007  168.050003  3116100.0  157.320923
11 2017-02-15  172.000000  167.000000  167.320007  171.789993  4058800.0  160.822159"
50,AMPH,"         Date       High        Low       Open  Close   Volume  Adj Close
0  2017-02-14  17.549999  17.110001  17.160000  17.51   243600      17.51
1  2017-02-15  18.090000  17.450001  17.469999  18.00   314100      18.00
2  2017-02-16  18.129999  17.330000  18.000000  18.00   414800      18.00
3  2017-02-17  18.500000  17.879999  18.200001  18.40   452200      18.40
4  2017-02-21  16.709999  14.090000  16.480000  14.20  1612800      14.20
5  2017-02-22  14.400000  14.000000  14.210000  14.12   470200      14.12
6  2017-02-23  14.890000  14.090000  14.120000  14.81   347300      14.81
7  2017-02-24  15.290000  14.660000  14.660000  15.19   394700      15.19
8  2017-02-27  15.770000  15.110000  15.200000  15.72   324300      15.72
9  2017-02-28  15.740000  15.260000  15.720000  15.47   413800      15.47
10 2017-03-01  15.700000  15.450000  15.670000  15.53   267200      15.53"
51,CELG,"         Date        High         Low        Open       Close   Volume   Adj Close
0  2017-02-15  120.629997  117.029999  117.129997  120.470001  5229600  120.470001
1  2017-02-16  120.769997  118.250000  120.160004  118.660004  3384300  118.660004
2  2017-02-17  121.190002  118.809998  119.129997  121.160004  4859000  121.160004
3  2017-02-21  122.220001  119.120003  121.389999  119.440002  4641800  119.440002
4  2017-02-22  120.500000  118.839996  119.480003  119.269997  3834900  119.269997
5  2017-02-23  119.949997  117.699997  119.860001  119.459999  4410100  119.459999
6  2017-02-24  119.309998  117.279999  118.500000  118.230003  4486000  118.230003
7  2017-02-27  122.000000  118.010002  118.300003  121.779999  4220400  121.779999
8  2017-02-28  124.559998  121.699997  121.860001  123.510002  6513600  123.510002
9  2017-03-01  124.790001  122.699997  124.790001  123.699997  4529000  123.699997
10 2017-03-02  124.199997  121.720001  123.639999  122.239998  3782500  122.239998"
52,LXRX,"         Date       High    Low       Open      Close   Volume  Adj Close
0  2017-02-21  16.049999  15.04  15.780000  15.210000  1081000  15.210000
1  2017-02-22  15.370000  15.01  15.170000  15.290000   522600  15.290000
2  2017-02-23  15.590000  15.07  15.370000  15.370000   448100  15.370000
3  2017-02-24  15.810000  15.18  15.330000  15.720000   531900  15.720000
4  2017-02-27  16.530001  15.78  15.800000  16.450001  1158300  16.450001
5  2017-02-28  16.459999  15.78  16.350000  16.040001  1456500  16.040001
6  2017-03-01  16.629999  15.35  16.570000  15.680000  2449000  15.680000
7  2017-03-02  16.030001  15.01  15.710000  15.070000  1654300  15.070000
8  2017-03-03  16.190001  15.00  15.900000  16.090000  1984200  16.090000
9  2017-03-06  16.730000  15.97  16.090000  16.430000  1277800  16.430000
10 2017-03-07  16.870001  16.02  16.570000  16.080000  3964800  16.080000
11 2017-03-08  17.480000  16.17  16.190001  16.730000  1429200  16.730000"
53,MRK,"         Date       High        Low       Open      Close    Volume  Adj Close
0  2017-02-22  65.750000  65.089996  65.500000  65.290001   8679600  61.049900
1  2017-02-23  66.110001  65.349998  65.519997  65.849998   6855600  61.573532
2  2017-02-24  66.160004  65.629997  65.650002  66.160004   8444300  61.863407
3  2017-02-27  65.940002  65.559998  65.779999  65.849998   7133800  61.573532
4  2017-02-28  66.150002  65.650002  65.809998  65.870003   7740500  61.592236
5  2017-03-01  66.800003  65.889999  66.070000  66.209999  10680700  61.910152
6  2017-03-02  66.580002  66.000000  66.379997  66.080002   8647700  61.788601
7  2017-03-03  66.620003  65.809998  66.080002  66.580002   8316900  62.256134
8  2017-03-06  66.779999  65.900002  66.080002  66.470001   8687500  62.153278
9  2017-03-07  66.309998  65.190002  65.430000  65.959999   8328700  61.676399
10 2017-03-08  66.120003  65.269997  65.959999  65.800003   8417600  61.526783
11 2017-03-09  66.029999  65.519997  65.970001  65.889999   7735000  61.610947"
54,AZN,"         Date       High        Low       Open      Close    Volume  Adj Close
0  2017-03-10  29.580000  29.370001  29.490000  29.549999   3932000  27.348820
1  2017-03-13  30.129999  29.549999  29.549999  30.070000   3957600  27.830082
2  2017-03-14  30.540001  29.980000  29.990000  30.299999   7598900  28.042952
3  2017-03-15  30.270000  30.010000  30.090000  30.209999   5140700  27.959652
4  2017-03-16  30.590000  30.389999  30.520000  30.520000   3101300  28.246563
5  2017-03-17  30.900000  30.500000  30.549999  30.690001   4358700  28.403900
6  2017-03-20  30.879999  30.690001  30.719999  30.700001   3443900  28.413157
7  2017-03-21  30.889999  30.360001  30.820000  30.370001   3920800  28.107737
8  2017-03-22  31.040001  30.510000  30.570000  30.980000   6134200  28.672297
9  2017-03-23  31.600000  31.139999  31.160000  31.299999  11268900  28.968460
10 2017-03-24  31.379999  31.110001  31.190001  31.309999   3983600  28.977715"
55,GSK,"         Date       High        Low       Open      Close   Volume  Adj Close
0  2017-03-20  42.450001  42.230000  42.230000  42.320000  3399900  37.535759
1  2017-03-21  42.560001  42.279999  42.439999  42.320000  2851700  37.535759
2  2017-03-22  42.419998  42.150002  42.259998  42.279999  2071500  37.500275
3  2017-03-23  42.580002  42.180000  42.220001  42.310001  1778200  37.526890
4  2017-03-24  42.389999  42.200001  42.240002  42.310001  2009600  37.526890
5  2017-03-27  42.820000  42.470001  42.509998  42.689999  2057700  37.863930
6  2017-03-28  42.669998  42.369999  42.610001  42.410000  1911800  37.615589
7  2017-03-29  42.770000  42.150002  42.169998  42.730000  4902400  37.899410
8  2017-03-30  42.759998  42.369999  42.740002  42.480000  2619600  37.677673
9  2017-03-31  42.439999  42.160000  42.259998  42.160000  3943000  37.393848
10 2017-04-03  42.220001  41.779999  41.970001  42.029999  3651700  37.278542
11 2017-04-04  42.080002  41.770000  41.799999  42.040001  2832800  37.287415"
56,REGN,"         Date        High         Low        Open       Close   Volume   Adj Close
0  2017-03-21  383.089996  370.239990  382.890015  370.980011  1224600  370.980011
1  2017-03-22  374.739990  366.130005  373.119995  369.140015   684600  369.140015
2  2017-03-23  370.730011  364.440002  369.190002  365.019989   677100  365.019989
3  2017-03-24  374.850006  366.720001  367.920013  373.000000   881400  373.000000
4  2017-03-27  384.959991  371.040009  371.690002  383.679993  1385900  383.679993
5  2017-03-28  388.820007  376.220001  383.470001  382.549988  1651300  382.549988
6  2017-03-29  401.209991  382.059998  382.459991  394.140015  1945500  394.140015
7  2017-03-30  397.209991  385.820007  394.890015  386.179993   966300  386.179993
8  2017-03-31  390.000000  382.600006  385.750000  387.510010   570300  387.510010
9  2017-04-03  392.750000  382.260010  388.000000  383.190002   994400  383.190002
10 2017-04-04  386.059998  379.279999  383.940002  382.920013   681100  382.920013
11 2017-04-05  384.510010  375.720001  382.929993  377.359985   772200  377.359985"
57,SNY,"         Date       High        Low       Open      Close   Volume  Adj Close
0  2017-03-21  45.070000  44.340000  44.959999  44.360001  1775500  39.194431
1  2017-03-22  44.880001  44.549999  44.759998  44.669998  1039000  39.468330
2  2017-03-23  45.130001  44.439999  44.689999  44.509998  1348900  39.326962
3  2017-03-24  44.820000  44.500000  44.759998  44.630001  2117000  39.432991
4  2017-03-27  45.490002  45.250000  45.320000  45.380001  2362400  40.095657
5  2017-03-28  45.950001  45.180000  45.240002  45.349998  2212600  40.069149
6  2017-03-29  45.470001  45.220001  45.240002  45.270000  1608500  39.998466
7  2017-03-30  45.180000  44.770000  45.029999  44.849998  1286300  39.627369
8  2017-03-31  45.299999  44.860001  44.970001  45.250000  1357900  39.980793
9  2017-04-03  45.200001  44.799999  44.880001  45.139999   782200  39.883602
10 2017-04-04  45.509998  45.230000  45.250000  45.490002   858500  40.192848
11 2017-04-05  45.689999  45.189999  45.540001  45.279999  1796000  40.007298"
58,MRK,"        Date       High        Low       Open      Close   Volume  Adj Close
0 2017-03-31  63.630001  63.250000  63.259998  63.540001  7614000  59.842308
1 2017-04-03  63.709999  63.220001  63.430000  63.470001  6643600  59.776375
2 2017-04-04  63.770000  63.369999  63.590000  63.669998  6345600  59.964737
3 2017-04-05  64.150002  63.509998  63.689999  63.570000  7713300  59.870564
4 2017-04-06  63.970001  63.189999  63.480000  63.240002  7552600  59.559761
5 2017-04-07  63.330002  62.950001  63.279999  63.130001  7721100  59.456169
6 2017-04-10  63.330002  62.529999  63.270000  62.549999  7247700  58.909916
7 2017-04-11  62.759998  62.180000  62.490002  62.580002  6544800  58.938171
8 2017-04-12  63.209999  62.279999  62.369999  63.049999  9509200  59.380825
9 2017-04-13  63.000000  62.560001  62.790001  62.610001  5932500  58.966423"
59,NBIX,"         Date       High        Low       Open      Close    Volume  Adj Close
0  2017-04-04  44.650002  43.000000  43.250000  43.220001   1206500  43.220001
1  2017-04-05  43.450001  40.590000  43.270000  40.669998   1319800  40.669998
2  2017-04-06  41.009998  39.209999  40.650002  40.240002   1722000  40.240002
3  2017-04-07  41.000000  39.500000  40.250000  40.880001   1254600  40.880001
4  2017-04-10  42.189999  40.220001  40.880001  40.310001   1757400  40.310001
5  2017-04-11  41.970001  39.980000  40.509998  41.480000   2477500  41.480000
6  2017-04-12  53.200001  50.000000  51.700001  51.799999  13095600  51.799999
7  2017-04-13  54.720001  51.669998  51.700001  53.389999   4219400  53.389999
8  2017-04-17  54.820000  53.029999  53.490002  54.320000   1600400  54.320000
9  2017-04-18  54.430000  51.619999  53.910000  52.060001   1953100  52.060001
10 2017-04-19  52.959999  51.299999  52.110001  51.910000    935400  51.910000"
60,INCY,"        Date        High         Low        Open       Close   Volume   Adj Close
0 2017-04-07  140.630005  136.550003  139.479996  140.110001  2206700  140.110001
1 2017-04-10  141.240005  136.020004  140.179993  136.880005  1651500  136.880005
2 2017-04-11  137.690002  134.160004  137.110001  136.070007  1296000  136.070007
3 2017-04-12  141.399994  134.960007  136.479996  138.270004  1584600  138.270004
4 2017-04-13  142.449997  138.009995  139.660004  140.839996  2186400  140.839996
5 2017-04-17  127.430000  124.050003  124.970001  126.070000  6916700  126.070000
6 2017-04-18  128.410004  124.150002  125.110001  125.900002  2593400  125.900002
7 2017-04-19  126.169998  124.050003  125.900002  124.540001  1937200  124.540001
8 2017-04-20  125.489998  123.050003  125.279999  123.110001  2035200  123.110001
9 2017-04-21  125.349998  122.510002  123.500000  123.010002  1818900  123.010002"
61,LLY,"        Date       High        Low       Open      Close    Volume  Adj Close
0 2017-04-07  85.660004  84.910004  85.339996  85.320000   2808500  80.763252
1 2017-04-10  85.849998  85.230003  85.459999  85.470001   1994900  80.905243
2 2017-04-11  86.139999  85.320000  85.470001  85.930000   2699200  81.340668
3 2017-04-12  86.339996  85.669998  85.739998  86.250000   2545100  81.643585
4 2017-04-13  86.320000  85.779999  86.029999  85.879997   2172500  81.293327
5 2017-04-17  82.989998  81.110001  81.300003  82.379997  12424500  77.980270
6 2017-04-18  82.099998  80.889999  81.910004  81.199997   8210800  76.863304
7 2017-04-19  81.709999  79.879997  81.120003  80.889999   5504500  76.569839
8 2017-04-20  82.199997  80.750000  81.190002  81.940002   3267200  77.563774
9 2017-04-21  82.239998  81.669998  81.820000  81.889999   3204000  77.516441"
62,TXMD,"         Date  High   Low  Open  Close    Volume  Adj Close
0  2017-05-01  5.13  4.92  5.04   5.01   3230000       5.01
1  2017-05-02  5.00  4.59  5.00   4.81   5818000       4.81
2  2017-05-03  4.98  4.32  4.79   4.69   6291600       4.69
3  2017-05-04  4.69  4.46  4.67   4.51   1595200       4.51
4  2017-05-05  4.78  4.32  4.49   4.67   2926300       4.67
5  2017-05-08  4.25  3.50  3.94   4.18  13190100       4.18
6  2017-05-09  4.45  3.80  3.96   4.37   3490500       4.37
7  2017-05-10  4.37  4.20  4.30   4.25   1928200       4.25
8  2017-05-11  4.37  4.12  4.24   4.29   1546800       4.29
9  2017-05-12  4.65  4.22  4.29   4.45   2186600       4.45
10 2017-05-15  4.61  4.41  4.50   4.51   2541100       4.51
11 2017-05-16  4.57  4.35  4.46   4.39   1642200       4.39"
63,MRK,"         Date       High        Low       Open      Close    Volume  Adj Close
0  2017-05-03  63.669998  62.380001  62.500000  63.630001  11429800  59.927067
1  2017-05-04  63.889999  63.220001  63.669998  63.380001   8610000  59.691612
2  2017-05-05  64.089996  63.430000  63.500000  63.970001   9346600  60.247280
3  2017-05-08  64.510002  63.830002  63.910000  64.010002  11149500  60.284950
4  2017-05-09  64.269997  63.160000  64.180000  63.290001  10222300  59.606853
5  2017-05-10  63.950001  63.090000  63.130001  63.939999   9631800  60.219028
6  2017-05-11  65.250000  64.309998  64.750000  64.430000  18515900  60.680511
7  2017-05-12  64.669998  63.270000  64.389999  63.570000  10342100  59.870564
8  2017-05-15  63.599998  63.340000  63.419998  63.509998   8311400  59.814049
9  2017-05-16  63.869999  63.139999  63.439999  63.790001   7870700  60.077759
10 2017-05-17  63.790001  62.880001  63.790001  63.000000   7916900  59.333721
11 2017-05-18  64.500000  62.910000  62.910000  63.889999  11954500  60.171932"
64,MRK,"         Date       High        Low       Open      Close    Volume  Adj Close
0  2017-05-11  65.250000  64.309998  64.750000  64.430000  18515900  60.680511
1  2017-05-12  64.669998  63.270000  64.389999  63.570000  10342100  59.870564
2  2017-05-15  63.599998  63.340000  63.419998  63.509998   8311400  59.814049
3  2017-05-16  63.869999  63.139999  63.439999  63.790001   7870700  60.077759
4  2017-05-17  63.790001  62.880001  63.790001  63.000000   7916900  59.333721
5  2017-05-18  64.500000  62.910000  62.910000  63.889999  11954500  60.171932
6  2017-05-19  64.040001  63.500000  64.040001  63.779999   9293700  60.068340
7  2017-05-22  64.440002  63.570000  63.700001  64.040001   6226500  60.313210
8  2017-05-23  64.589996  64.000000  64.000000  64.550003   5734600  60.793526
9  2017-05-24  65.199997  64.540001  64.769997  64.930000   6955400  61.151413
10 2017-05-25  65.120003  64.660004  64.959999  65.040001   7095900  61.255016
11 2017-05-26  65.209999  64.820000  65.000000  64.919998   3685700  61.141998"
65,SNY,"         Date       High        Low       Open      Close   Volume  Adj Close
0  2017-05-15  49.639999  49.009998  49.049999  49.410000  1406100  45.147598
1  2017-05-16  50.240002  49.910000  50.189999  50.209999  4283500  45.878586
2  2017-05-17  50.200001  49.400002  50.110001  49.400002  3107300  45.138462
3  2017-05-18  49.380001  48.930000  49.099998  49.150002  3395300  44.910030
4  2017-05-19  49.520000  49.189999  49.349998  49.310001  1390000  45.056229
5  2017-05-22  49.450001  49.110001  49.410000  49.160000   951400  44.919167
6  2017-05-23  49.410000  49.000000  49.320000  49.070000  1835500  44.836929
7  2017-05-24  49.200001  48.830002  49.009998  49.150002  5230100  44.910030
8  2017-05-25  49.169998  48.799999  49.049999  49.029999  3157400  44.800381
9  2017-05-26  49.180000  48.849998  48.980000  49.000000  1071100  44.772968
10 2017-05-30  49.139999  48.799999  48.810001  49.060001   545000  44.827793"
66,MRK,"         Date       High        Low       Open      Close    Volume  Adj Close
0  2017-05-16  63.869999  63.139999  63.439999  63.790001   7870700  60.077759
1  2017-05-17  63.790001  62.880001  63.790001  63.000000   7916900  59.333721
2  2017-05-18  64.500000  62.910000  62.910000  63.889999  11954500  60.171932
3  2017-05-19  64.040001  63.500000  64.040001  63.779999   9293700  60.068340
4  2017-05-22  64.440002  63.570000  63.700001  64.040001   6226500  60.313210
5  2017-05-23  64.589996  64.000000  64.000000  64.550003   5734600  60.793526
6  2017-05-24  65.199997  64.540001  64.769997  64.930000   6955400  61.151413
7  2017-05-25  65.120003  64.660004  64.959999  65.040001   7095900  61.255016
8  2017-05-26  65.209999  64.820000  65.000000  64.919998   3685700  61.141998
9  2017-05-30  65.139999  64.529999  64.720001  64.879997   4885600  61.104317
10 2017-05-31  65.489998  65.029999  65.080002  65.110001   7788300  61.320934"
